"Ntsb_No","Event_Type","Mkey","Event_Date","City","State","Country","Report_No","N","Has_Safety_Rec","Report_Type","Original_Publish_Date","Highest_Injury_Level","Fatal_Injury_Count","Serious_Injury_Count","Minor_Injury_Count","Probable_Cause","Event_ID","Latitude","Longitude","Make","Model","AirCraft_Category","Airport_ID","Airport_Name","Amateur_Built","Number_Of_Engines","Scheduled","Purpose_Of_Flight","FAR","AirCraft_Damage","Weather_Condition","Operator","Report_Status","Rep_Gen_Flag","Docket_Url","Docket_Publish_Date","event_year","operator_type","sms_keywords"
"CEN25LA083","ACC","199571",2025-01-20,"Minneapolis","Minnesota","United States",NA,"N6NR","FALSE","DirectorBrief","2025-03-06T05:00:00Z","None","0","0","0","The failure of the nose landing gear to extend for undetermined reasons.",NA,"44.88","-93.22","RAYTHEON AIRCRAFT COMPANY","HAWKER 800XP","AIR","MSP","MINNEAPOLIS-ST PAUL INTL/WOLD-CHAMBERLAIN","FALSE","2",NA,"PERS","91","Substantial","VMC",NA,"Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=199571","2025-03-06 19:00:00",2025,"Other","Technical"
"CEN25LA070","ACC","199509",2025-01-02,"Stringtown","Mississippi","United States",NA,"N438SW","FALSE","DirectorBrief","2025-02-21T05:00:00Z","None","0","0","0","Bird strike.",NA,"33.57","-90.98","BOMBARDIER INC","CL-600-2B19","AIR","GLH","Greenville MId-Delta","FALSE","2","NSCH",NA,"135","Substantial","VMC","CORPORATE FLIGHT MANAGEMENT INC","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=199509","2025-02-21 19:00:00",2025,"Other","Other"
"ERA25LA073","ACC","199408",2024-12-11,"Atlanta","Georgia","United States",NA,"N981AG","FALSE","DirectorBrief","2025-07-03T04:00:00Z","None","0","0","0","The vehicle driver’s inadequate visual lookout while driving on a non-licensed vehicle roadway in restricted visibility conditions, which resulted in a collision with a taxiing airplane.",NA,"33.65","-84.42","CESSNA","560","AIR","ATL","Hartsfield/Jackson Atlanta International Airport","FALSE","2","NSCH","POSI","91","Substantial","IMC","Aitheras Aviation group, LLC","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=199408","2025-07-03 17:00:00",2024,"Other","Environmental"
"OPS24LA045","INC","195365",2024-09-29,"Brunswick","Georgia","United States",NA,"N70FC","FALSE","DirectorBrief","2025-04-01T04:00:00Z","None","0","0","0","The flight crew’s failure to properly identify the airport and runway of intended landing, and the lack of verification of their airplane’s position using all available navigation information.",NA,"31.26","-81.47","CESSNA","525","AIR","KBQK","Brunswick Golden Isles Airport","FALSE","2","NSCH",NA,"135","None","VMC","Mountain Aviation LLC","Completed","FALSE",NA,NA,2024,"Other","Technical"
"WPR24LA318","ACC","195229",2024-09-20,"Seattle","Washington","United States",NA,"N513WF, N621WK","FALSE","DirectorBrief","2025-04-22T04:00:00Z","None","0","0","0","The Gulfstream pilot’s failure to maintain clearance from the Cessna while taxiing that resulted in a ground collision.",NA,"47.53","-122.3","CESSNA, IAI LTD","172S, GULFSTREAM G280","AIR,AIR","BFI","BOEING FLD/KING COUNTY INTL","FALSE,FALSE","1,2",NA,"PERS,EXEC","91091","Substantial,Minor","VMC","Galvin Flying,KELLANOVA","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=195229","2025-04-22 18:00:00",2024,"Other","Technical"
"ERA24LA293","ACC","194626",2024-06-30,"Richmond","Virginia","United States",NA,"N865HC","FALSE","DirectorBrief","2024-12-19T05:00:00Z","None","0","0","0","The pilot’s failure to maintain directional control of the airplane while landing in rain and gusting wind conditions.",NA,"37.51","-77.33","CESSNA","525","AIR","RIC","RICHMOND INTL","FALSE","2",NA,"BUS","91","Substantial","IMC",NA,"Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=194626","2024-12-19 18:00:00",2024,"Other","Environmental"
"DCA24LA110","ACC","193849",2024-02-25,"San Francisco","California","United States",NA,"N13138","FALSE","DirectorBrief","2024-07-17T04:00:00Z","None","0","0","0","The crew’s over-rotation of the aircraft pitch during takeoff which resulted in a tailstrike.",NA,"37.62","-122.38","BOEING","757-224","AIR","SFO","SAN FRANCISCO INTL","FALSE","2",NA,"FLTS","91","Substantial","VMC","UNITED AIRLINES INC","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=193849","2024-07-17 18:00:00",2024,"Commercial","Other"
"DCA24LA092","ACC","193765",2024-02-08,"Boston","Massachusetts","United States",NA,"N956JT, N2157J","FALSE","DirectorBrief","2024-07-18T04:00:00Z","None","0","0","0","The “follow me” driver stopping the airplane (flight 551) about 35 feet from the normal stopping point due to a difficulty in seeing the yellow “T”-bar because of the dark night conditions and the presence of de-icing fluid on the ground.",NA,"42.36","-71.01","AIRBUS, AIRBUS","A321-231, A321","AIR,AIR","BOS","General Edward Lawrence Logan International Airport","FALSE,FALSE","2,2","SCHD",",","121121","Substantial,Minor","VMC","JETBLUE AIRWAYS CORP,JETBLUE AIRWAYS CORP","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=193765","2024-07-18 18:00:00",2024,"Commercial","Environmental"
"DCA24LA079","INC","193682",2024-01-18,"Miami","Florida","United States",NA,"N859GT","FALSE","DirectorBrief","2024-10-16T04:00:00Z","None","0","0","0","Maintenance personnel’s improper installation and inspection of the port M borescope plug, which resulted in an engine fire.",NA,"25.79","-80.31","BOEING","747-87UF","AIR",NA,NA,"FALSE","4","NSCH",NA,"121","Minor","VMC","ATLAS AIR INC","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=193682","2024-10-16 18:00:00",2024,"Other","Technical"
"DCA24LA065","ACC","193637",2024-01-10,"Houston","Texas","United States",NA,"N62883","FALSE","DirectorBrief","2024-05-17T04:00:00Z","None","0","0","0","The airplane’s aft fuselage impacted the runway as a result of a delayed flare and subsequent nose-high pitch inputs during the aircraft’s multiple touchdowns.",NA,"29.99","-95.34","BOEING","737","AIR","KIAH","Houston George Bush Intercontinental Airport","FALSE","2","SCHD",NA,"121","Substantial","VMC","UNITED AIRLINES INC","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=193637","2024-05-17 18:00:00",2024,"Commercial","Operational"
"CEN24LA085","ACC","193628",2024-01-02,"San Marcos","Texas","United States",NA,"N46MF","FALSE","DirectorBrief","2025-02-26T05:00:00Z","None","0","0","0","The captain’s failure to perform a go-around following an unstable approach while landing with a gusty tailwind, which resulted in the airplane touching down long on the wet runway with insufficient distance to stop. Contributing to the accident was the crew’s unawareness of the prevailing winds and first officer’s decision to not call a go-around.",NA,"29.89","-97.86","LEARJET","35","AIR","HYI","SAN MARCOS RGNL","FALSE","2","NSCH","OWRK","135","Substantial","IMC","MED FLIGHT AIR AMBULANCE INC","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=193628","2025-02-26 19:00:00",2024,"Other","Environmental"
"DCA24LA051","ACC","193561",2023-12-19,"St. Louis","Missouri","United States",NA,"N8514F","FALSE","DirectorBrief","2024-03-12T04:00:00Z","None","0","0","0","A bird strike during climbout.",NA,"38.75","-90.36","BOEING","737","AIR",NA,NA,"FALSE","2","SCHD",NA,"121","Substantial","VMC","SOUTHWEST AIRLINES CO","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=193561","2024-03-12 18:00:00",2023,"Commercial","Other"
"CEN24LA054","ACC","193463",2023-11-26,"Council Bluffs","Iowa","United States",NA,"N475CW","FALSE","DirectorBrief","2024-02-29T05:00:00Z","None","0","0","0","An in-flight collision with a bird during decent.",NA,"41.17","-95.8","CESSNA","560XL","AIR",NA,NA,"FALSE","2","NSCH","UNK","135","Substantial","VMC","Ultra Air, LLC","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=193463","2024-02-29 18:00:00",2023,"Other","Other"
"DCA24LA043","INC","193541",2023-10-18,"Chicago","Illinois","United States",NA,"N30913","FALSE","DirectorBrief","2024-03-12T04:00:00Z","None","0","0","0","The flight crew’s misperception of the distance required to safely pass the hangar and failure to request additional ground handling support while taxiing, which resulted in a collision with a hangar. Contributing to the accident was United Airlines Maintenance Ramp personnel’s ambiguous taxi instructions and lack of obstruction clearance guidance.",NA,"41.99","-87.93","BOEING","787","AIR","ORD","CHICAGO O'HARE INTL","FALSE","2","NSCH","FERY","91","Minor","VMC","UNITED AIRLINES INC","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=193541","2024-03-12 18:00:00",2023,"Commercial","Technical"
"ENG24FA003","INC","193272",2023-10-18,"Memphis","Tennessee","United States",NA,"N287FE","FALSE","DirectorBrief","2025-04-30T04:00:00Z","None","0","0","0","A high-pressure fuel leak from a gap in the bolted flange interface between the main fuel pump’s fuel crossover supply tube and the hydromechanical unit idler adapter pad, which resulted in the crossover tube flange bolts partially pulling out and allowing fuel to escape and ignite on contact with the engine’s heatshield.Contributing to the fuel leak was Avio Aero's incorrect manufacture of the idler adapter pad bolt holes, which deviated from GE's manufacturing print requirement; Avio Aero's improper installation of threaded inserts into the idler adapter bolt holes; Avio Aero's failure to inform GE about the manufacturing deviation and request approval; and GE's failure to identify the manufacturing deviation during adapter quality and compliance design reviews.",NA,"35.04","-89.98","BOEING","767-300F","AIR","MEM","MEMPHIS INTL","FALSE","2","NSCH",NA,"121","Minor","Unknown","FEDERAL EXPRESS CORP","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=193272","2025-04-30 04:00:00",2023,"Commercial","Technical"
